id;person_full_name;person_birthday;person_status;person_phone;person_comment;person_address;person_group
0;Иванов И. И.;1990-02-12;t;126;интернет;Можга;Работа
1;Иванов И. И.;1990-02-12;t;127;старый;Можга;Работа
2;Иванов И. И.;2001-09-11;f;527;личный;Санкт-Петербург;Школа
3;Петров П. П.;1983-04-03;t;234;личный;Москва;Родня
4;Петров П. П.;1983-04-04;t;235;рабочий;Москва;Родня
5;Васильев В. В.;1998-05-01;f;456;личный;Белгород;Друзья
6;Сидоров С.С.;2007-07-03;f;643;личный;Киро;Родня
7;Сидоров С.С.;2007-07-03;f;654;старый;Киров;Родня
8;Александров А.А.;1987-03-05;t;412;рабочий;Уфа;Друзья
9;Борисов Б.Б;1989-08-06;f;723;рабочий;Москва;Работа
10;Михайлов М.М.;1997-01-08;t;876;личный;Сочи;Университет
11;Михайлов М.М.;1997-01-08;t;875;рабочий;Сочи;Университет
12;Кириллов К.К.;1996-12-03;f;933;личный;Киров;Работа
